Age,Rating,Order Status,Total Price,Unit Price,Quantity,Gender_Male,Loyalty Member_Yes,Product Type_Laptop,Product Type_Smartphone,Product Type_Smartwatch,Product Type_Tablet,Payment Method_Cash,Payment Method_Credit Card,Payment Method_Debit Card,Payment Method_PayPal,Payment Method_Paypal,Shipping Type_Express,Shipping Type_Overnight,Shipping Type_Same Day,Shipping Type_Standard
22,4,1,361.18,361.18,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
29,1,1,5394.56,674.32,8,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
53,2,1,9117.44,1139.68,8,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
24,3,0,6291.28,786.41,8,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True
55,2,1,3164.76,791.19,4,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
75,1,0,4558.72,1139.68,4,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
60,5,1,83.0,20.75,4,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
66,2,0,2697.28,674.32,4,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
51,3,0,3676.0,459.5,8,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False
72,1,1,2757.0,459.5,6,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False
35,3,1,494.06,247.03,2,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False
24,3,0,4045.92,674.32,6,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
50,3,0,2534.49,844.83,3,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False
78,5,0,20.75,20.75,1,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False
45,3,1,8448.3,844.83,10,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
74,1,1,3611.8,361.18,10,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
61,5,0,2889.44,361.18,8,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
34,2,0,7911.9,791.19,10,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
51,3,1,1729.21,247.03,7,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False
31,4,0,3216.5,459.5,7,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
73,1,0,2889.44,361.18,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,3,0,3419.04,1139.68,3,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
55,3,1,741.09,247.03,3,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
75,5,0,4558.72,1139.68,4,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
51,4,1,10257.12,1139.68,9,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
23,3,1,5068.98,844.83,6,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
34,5,1,2757.0,459.5,6,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False
28,3,0,463.96,463.96,1,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
65,5,1,62.25,20.75,3,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
75,2,0,3955.95,791.19,5,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
79,5,0,2167.08,361.18,6,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False
33,2,0,7911.9,791.19,10,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
46,2,0,1083.54,361.18,3,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
58,2,0,791.19,791.19,1,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False
75,1,0,2889.44,361.18,8,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
72,1,1,1444.72,361.18,4,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
70,4,1,2359.23,786.41,3,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
69,3,0,4558.72,1139.68,4,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
62,3,0,7603.47,844.83,9,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
60,2,1,3371.6,674.32,5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
64,4,1,6838.08,1139.68,6,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
79,4,0,2022.96,674.32,3,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
77,1,1,1444.72,361.18,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
35,3,1,3247.72,463.96,7,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False
59,1,0,1805.9,361.18,5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
80,3,0,494.06,247.03,2,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False
46,3,0,3711.68,463.96,8,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
69,2,0,2373.57,791.19,3,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
51,3,0,4175.64,463.96,9,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
79,2,0,2373.57,791.19,3,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
77,3,1,2319.8,463.96,5,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
36,2,1,11396.8,1139.68,10,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
31,3,1,1976.24,247.03,8,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True
75,3,1,3711.68,463.96,8,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
37,3,0,5068.98,844.83,6,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False
43,3,1,3419.04,1139.68,3,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
27,3,0,5913.81,844.83,7,True,True,False,False,True,False,False,True,False,False,False,False,True,False,False
